student_id,first_name,last_name,department,cgpa,latest_sgpa,active_backlogs,has_backlog_history
1,Rohan,Iyer,BCA,7.2,6.9,1,1
2,Manya,Verma,CSE,7.6,7.9,0,0
3,Aisha,Kapoor,CE,7.9,7.4,0,0
4,Ananya,Menon,MBA,7.2,7.1,1,1
5,Karan,Kapoor,CSE,7.5,7.7,0,0
6,Rohan,Menon,CE,7.5,7.7,0,0
7,Ritika,Chopra,MBA,6.6,6.7,0,0
8,Ananya,Iyer,CSE,8.9,9.2,0,0
9,Ananya,Bhat,CSE,8.4,8.3,1,1
10,Ishaan,Singh,BCA,7.0,7.4,0,0
11,Karan,Iyer,CSE,7.1,7.2,0,0
12,Aditya,Malhotra,BCA,6.8,7.0,0,1
13,Vihaan,Singh,CSE,8.2,8.3,0,0
14,Priya,Malhotra,ME,6.8,6.9,1,1
15,Krishna,Mehta,BCA,7.3,7.0,0,0
16,Vihaan,Sharma,CSE,6.8,6.5,0,0
17,Aarav,Khan,MBA,7.7,7.5,0,0
18,Priya,Menon,CE,7.7,7.9,0,0
19,Priya,Malhotra,CE,7.3,7.1,0,0
20,Sneha,Singh,MBA,7.5,7.4,0,0
21,Samar,Joshi,ME,7.9,7.9,0,0
22,Pooja,Malhotra,CE,7.5,7.9,0,0
23,Aisha,Yadav,BCA,7.9,8.1,0,0
24,Aisha,Khan,CE,6.7,6.3,0,0
25,Ritika,Bhatt,CSE,8.0,8.0,0,0
26,Priya,Patel,BCA,7.5,7.4,0,0
27,Manya,Yadav,MBA,8.1,8.0,0,0
28,Aditya,Menon,CSE,7.8,7.8,0,0
29,Arjun,Sharma,CSE,7.7,8.0,0,0
30,Ritika,Yadav,CSE,7.5,7.3,1,1
31,Rohan,Bhatt,CSE,8.7,8.8,0,1
32,Rahul,Desai,CSE,6.4,6.5,1,1
33,Rohan,Sinha,CSE,8.1,8.0,1,1
34,Nidhi,Nair,ME,7.4,7.2,0,0
35,Ishaan,Bhatt,CSE,7.7,7.5,0,0
36,Diya,Singh,CSE,7.6,7.5,0,1
37,Nidhi,Rao,CSE,7.8,8.0,0,0
38,Rahul,Menon,CSE,8.1,8.0,0,0
39,Vihaan,Mehta,CSE,7.3,7.3,0,0
40,Manya,Singh,MBA,7.5,7.2,1,1
41,Aisha,Verma,BCA,7.6,7.5,0,0
42,Rohan,Bhat,BCA,6.8,6.9,0,0
43,Priya,Sinha,BCA,7.7,7.2,1,1
44,Karan,Malhotra,CSE,8.0,8.3,0,0
45,Aisha,Bhatt,CSE,7.3,7.1,0,0
46,Aditya,Menon,CSE,7.1,7.6,1,1
47,Diya,Chopra,CE,6.9,7.0,0,0
48,Sneha,Sinha,CSE,7.9,7.3,0,1
49,Ishaan,Singh,MBA,7.4,7.5,1,1
50,Nidhi,Mehta,CSE,8.6,8.5,0,0
51,Karan,Verma,CSE,7.6,7.7,0,0
52,Ishaan,Rao,BCA,6.9,7.4,0,0
53,Vihaan,Iyer,CE,7.8,8.0,1,1
54,Krishna,Mehta,CE,6.8,6.7,0,0
55,Samar,Malhotra,MBA,6.9,6.5,0,0
56,Ishaan,Malhotra,BCA,6.9,7.2,0,0
57,Nidhi,Bhat,ME,5.6,5.8,0,0
58,Priya,Bhatt,BCA,7.7,8.0,0,0
59,Vihaan,Rao,CSE,8.4,8.4,0,0
60,Samar,Iyer,MBA,8.0,8.1,0,0
61,Ishaan,Singh,ME,8.5,8.4,0,0
62,Diya,Joshi,CSE,8.7,8.7,0,0
63,Pooja,Singh,BCA,7.2,6.7,1,1
64,Aisha,Mehta,BCA,8.1,8.2,0,1
65,Karan,Verma,MBA,7.3,7.4,0,1
66,Diya,Iyer,CSE,7.5,7.3,1,1
67,Karan,Desai,MBA,6.9,7.1,1,1
68,Pooja,Verma,BCA,7.2,7.5,0,0
69,Neha,Khan,ME,7.6,8.0,0,0
70,Nidhi,Gupta,CSE,8.7,8.4,0,0
71,Aisha,Gupta,MBA,7.8,8.0,0,0
72,Neha,Yadav,CSE,7.3,7.7,0,0
73,Rahul,Gupta,CE,6.8,6.7,0,0
74,Aisha,Singh,CSE,8.1,8.5,0,1
75,Neha,Iyer,MBA,7.9,7.7,0,0
76,Aarav,Menon,CE,8.1,8.1,0,1
77,Rohan,Malhotra,CSE,7.6,7.1,1,1
78,Rahul,Menon,CSE,8.1,7.5,0,0
79,Aarav,Menon,CSE,8.3,7.8,0,1
80,Priya,Mehta,CSE,7.0,7.4,0,0
81,Karan,Menon,CSE,8.0,7.8,0,0
82,Ananya,Khan,BCA,7.9,7.7,0,1
83,Ritika,Chopra,CE,7.7,7.8,0,0
84,Sneha,Gupta,BCA,7.4,7.2,1,1
85,Karan,Khan,BCA,9.0,9.4,0,0
86,Aditya,Kapoor,CSE,9.0,9.6,0,1
87,Aditya,Mehta,CSE,7.8,7.1,0,0
88,Aarav,Bhat,CSE,7.7,7.9,0,0
89,Arjun,Singh,CE,7.8,7.2,0,0
90,Samar,Nair,ME,7.4,7.0,0,0
91,Rohan,Malhotra,CSE,8.6,8.7,0,0
92,Rahul,Mehta,CSE,7.0,6.7,0,1
93,Rohan,Yadav,MBA,7.3,7.4,0,0
94,Rahul,Patel,MBA,7.8,7.8,1,1
95,Karan,Menon,BCA,8.0,7.5,0,0
96,Priya,Verma,CSE,6.9,7.1,0,0
97,Vihaan,Singh,BCA,6.8,6.9,0,1
98,Aarav,Khan,MBA,6.4,6.4,1,1
99,Pooja,Bhatt,CE,6.9,6.7,0,0
100,Arjun,Sinha,BCA,6.6,6.7,0,0
101,Aditya,Malhotra,BCA,7.7,7.3,0,0
102,Priya,Mehta,CSE,7.9,7.6,0,0
103,Karan,Verma,CSE,7.7,7.8,0,0
104,Aditya,Chopra,MBA,7.4,7.7,1,1
105,Aarav,Iyer,MBA,8.1,8.0,2,1
106,Aditya,Chopra,ME,6.8,6.9,0,0
107,Arjun,Kapoor,BCA,6.2,6.3,0,0
108,Aisha,Rao,CSE,8.2,8.3,0,0
109,Diya,Mehta,MBA,7.2,7.0,0,0
110,Aditya,Patel,CSE,7.2,7.2,0,0
111,Aarav,Sharma,BCA,7.7,7.7,0,0
112,Arjun,Singh,BCA,6.2,6.6,0,0
113,Diya,Bhat,MBA,6.9,6.6,1,1
114,Rohan,Nair,CSE,6.4,6.0,0,0
115,Rahul,Mehta,CE,7.6,8.5,0,0
116,Aisha,Khan,ME,8.3,8.4,0,0
117,Aisha,Sharma,CSE,7.5,7.7,0,0
118,Samar,Nair,BCA,6.9,7.1,0,0
119,Neha,Sharma,BCA,8.5,8.7,0,1
120,Ritika,Mehta,MBA,7.8,8.1,1,1
121,Rohan,Bhatt,MBA,8.8,9.0,0,1
122,Sneha,Kapoor,CSE,7.9,8.2,0,0
123,Manya,Bhatt,MBA,7.5,7.6,1,1
124,Ishaan,Mehta,MBA,8.3,8.6,1,1
125,Arjun,Menon,CSE,7.7,8.3,0,0
126,Rohan,Desai,CSE,7.9,8.0,0,0
127,Neha,Sharma,CSE,6.3,6.4,0,0
128,Aisha,Rao,CSE,8.8,8.6,0,0
129,Ananya,Chopra,MBA,7.6,7.6,0,1
130,Ishaan,Menon,ME,7.3,7.4,0,1
131,Neha,Khan,ME,7.9,7.8,1,1
132,Rohan,Chopra,CSE,7.1,7.1,0,0
133,Ritika,Bhat,MBA,7.1,7.2,1,1
134,Vihaan,Gupta,CE,7.7,8.2,0,0
135,Samar,Bhat,MBA,7.4,7.1,0,1
136,Neha,Chopra,BCA,7.7,7.8,0,1
137,Krishna,Malhotra,MBA,7.5,7.3,1,1
138,Priya,Nair,ME,7.8,8.0,0,1
139,Priya,Joshi,CSE,7.0,7.3,0,0
140,Manya,Malhotra,ME,8.2,8.7,0,1
141,Ananya,Bhatt,BCA,7.1,7.0,0,0
142,Rohan,Khan,BCA,7.4,7.4,0,1
143,Aarav,Patel,BCA,7.0,7.2,0,0
144,Aarav,Sharma,CSE,7.6,7.8,0,0
145,Manya,Bhat,MBA,7.5,6.8,0,1
146,Neha,Gupta,MBA,7.8,7.6,0,0
147,Rahul,Joshi,MBA,7.9,8.1,0,1
148,Aditya,Menon,CSE,8.1,8.0,0,0
149,Rohan,Gupta,BCA,7.0,7.2,0,0
150,Krishna,Sinha,BCA,7.6,7.9,0,1
151,Karan,Chopra,MBA,7.5,7.4,1,1
152,Rahul,Sharma,CSE,7.8,8.0,0,0
153,Arjun,Verma,CSE,8.1,8.5,0,0
154,Aarav,Rao,ME,6.6,6.9,0,0
155,Ritika,Menon,CSE,6.6,6.4,1,1
156,Samar,Yadav,BCA,8.1,8.0,1,1
157,Priya,Rao,ME,7.3,7.3,1,1
158,Aisha,Malhotra,ME,7.6,7.3,0,1
159,Rahul,Gupta,MBA,6.9,7.2,0,0
160,Manya,Desai,CSE,8.6,8.4,0,0
161,Sneha,Chopra,BCA,7.6,7.6,0,1
162,Sneha,Malhotra,ME,7.3,7.6,0,1
163,Manya,Yadav,BCA,7.6,7.5,0,0
164,Priya,Malhotra,MBA,6.4,6.3,1,1
165,Rohan,Mehta,ME,7.6,7.7,0,0
166,Vihaan,Kapoor,CSE,8.7,8.6,0,1
167,Aditya,Desai,ME,7.6,8.1,1,1
168,Sneha,Menon,CE,7.5,7.2,0,1
169,Arjun,Verma,CE,7.2,6.5,0,0
170,Sneha,Rao,CE,8.0,8.3,0,0
171,Sneha,Joshi,CSE,8.5,8.4,0,0
172,Sneha,Patel,BCA,7.1,6.9,0,0
173,Vihaan,Kapoor,BCA,7.6,7.7,0,0
174,Vihaan,Sharma,CSE,7.9,8.0,0,1
175,Arjun,Patel,BCA,7.6,7.4,0,0
176,Aarav,Menon,CSE,7.3,7.7,0,0
177,Aarav,Kapoor,ME,8.1,8.4,1,1
178,Ritika,Khan,CSE,8.1,8.7,0,0
179,Vihaan,Yadav,BCA,8.1,8.0,0,0
180,Priya,Kapoor,CSE,7.1,7.1,0,0
181,Krishna,Rao,MBA,6.8,6.9,1,1
182,Ishaan,Gupta,MBA,8.6,8.5,0,0
183,Ananya,Singh,CSE,8.5,8.6,0,0
184,Sneha,Bhat,ME,6.9,7.0,0,0
185,Krishna,Patel,CSE,8.3,8.4,0,0
186,Arjun,Chopra,ME,7.1,7.0,0,0
187,Manya,Bhat,BCA,6.4,6.3,0,1
188,Vihaan,Bhat,CE,6.1,5.9,0,0
189,Krishna,Verma,BCA,7.4,7.2,0,0
190,Ananya,Joshi,CSE,8.7,8.7,0,1
191,Pooja,Kapoor,CSE,8.7,9.2,0,1
192,Pooja,Gupta,MBA,8.2,8.8,0,0
193,Aarav,Patel,CSE,8.3,8.7,0,1
194,Rahul,Gupta,BCA,7.6,7.5,0,0
195,Krishna,Gupta,CSE,8.5,8.6,1,1
196,Pooja,Gupta,BCA,6.2,5.6,0,0
197,Aditya,Patel,CSE,8.4,8.4,0,0
198,Manya,Patel,CE,6.7,6.6,0,0
199,Ishaan,Yadav,CSE,7.3,7.9,1,1
200,Ritika,Bhat,CSE,8.2,8.3,0,1
201,Aditya,Yadav,ME,8.0,8.0,0,0
202,Ritika,Singh,CSE,7.4,7.4,0,0
203,Manya,Sharma,ME,7.8,7.7,0,0
204,Rohan,Malhotra,MBA,7.7,7.9,0,0
205,Manya,Nair,CSE,7.6,7.4,0,1
206,Rahul,Chopra,BCA,7.5,7.7,0,0
207,Aarav,Nair,MBA,8.6,9.0,0,0
208,Karan,Rao,ME,7.2,7.2,0,1
209,Rohan,Nair,MBA,7.3,7.2,0,0
210,Nidhi,Desai,ME,7.5,7.5,1,1
211,Karan,Malhotra,CSE,7.7,8.1,0,0
212,Aarav,Desai,CSE,8.3,8.3,0,0
213,Ananya,Mehta,MBA,8.3,8.1,0,0
214,Nidhi,Menon,MBA,7.3,7.5,0,0
215,Samar,Rao,CSE,7.3,7.1,0,0
216,Aditya,Desai,ME,8.6,8.5,0,0
217,Rohan,Yadav,ME,7.5,7.6,1,1
218,Pooja,Gupta,CSE,6.8,6.6,0,0
219,Pooja,Malhotra,CSE,8.9,8.4,0,0
220,Manya,Iyer,CSE,8.5,8.6,0,0
221,Sneha,Rao,CSE,8.8,8.1,1,1
222,Vihaan,Yadav,CSE,8.7,8.4,2,1
223,Aarav,Sinha,CSE,9.4,9.6,0,0
224,Pooja,Bhatt,BCA,6.8,6.9,0,0
225,Priya,Rao,ME,6.9,6.9,1,1
226,Arjun,Menon,CSE,7.5,7.2,0,0
227,Arjun,Iyer,CSE,7.5,7.4,0,0
228,Rahul,Singh,ME,7.5,7.7,1,1
229,Rahul,Malhotra,MBA,7.1,7.1,2,1
230,Aditya,Menon,CE,6.7,6.3,0,0
231,Ritika,Mehta,BCA,6.9,6.6,0,0
232,Pooja,Chopra,MBA,7.2,7.1,1,1
233,Pooja,Iyer,CSE,8.5,8.6,0,0
234,Aditya,Joshi,CE,7.1,7.1,0,1
235,Manya,Sharma,BCA,7.9,7.5,0,0
236,Aarav,Verma,MBA,6.6,7.0,1,1
237,Manya,Joshi,ME,5.5,5.3,0,0
238,Ananya,Iyer,CSE,7.7,7.8,0,0
239,Sneha,Rao,CSE,7.4,7.1,0,1
240,Karan,Malhotra,ME,6.9,7.6,1,1
241,Ishaan,Mehta,BCA,6.8,7.2,0,0
242,Krishna,Rao,ME,7.0,6.8,0,0
243,Karan,Khan,CE,6.8,6.8,0,0
244,Manya,Bhat,CSE,7.3,7.0,0,0
245,Aditya,Mehta,CSE,7.0,6.9,0,1
246,Pooja,Bhatt,MBA,6.1,6.2,1,1
247,Aditya,Desai,CSE,6.5,6.8,0,0
248,Nidhi,Menon,ME,8.9,8.5,0,0
249,Diya,Joshi,CSE,7.8,7.6,0,0
250,Nidhi,Desai,CE,8.3,8.6,0,0
251,Vihaan,Menon,CE,7.3,7.7,0,0
252,Aditya,Yadav,MBA,7.3,7.1,0,1
253,Pooja,Bhat,CSE,8.0,8.3,0,0
254,Rahul,Singh,ME,7.8,7.4,0,0
255,Ishaan,Gupta,BCA,6.7,6.6,0,0
256,Aarav,Gupta,ME,7.2,6.9,0,0
257,Ishaan,Desai,CSE,8.0,7.9,1,1
258,Aarav,Patel,CSE,6.6,7.2,0,0
259,Diya,Nair,CSE,8.6,8.6,0,0
260,Pooja,Verma,CSE,8.4,8.3,0,0
261,Manya,Bhat,CE,6.1,5.9,0,0
262,Karan,Iyer,BCA,6.9,6.8,1,1
263,Rohan,Joshi,CSE,7.9,7.7,0,0
264,Aditya,Rao,CSE,8.3,8.3,0,0
265,Sneha,Menon,CSE,8.7,8.7,0,1
266,Aarav,Iyer,BCA,7.0,6.9,0,0
267,Pooja,Kapoor,MBA,8.8,8.6,0,0
268,Priya,Gupta,ME,7.4,7.5,0,1
269,Ritika,Desai,CSE,7.7,7.5,0,0
270,Diya,Sharma,ME,7.7,7.6,1,1
271,Krishna,Desai,CSE,8.0,7.9,0,0
272,Krishna,Khan,CSE,8.0,7.3,0,0
273,Neha,Mehta,ME,8.6,8.9,0,0
274,Ritika,Mehta,MBA,7.5,7.0,0,0
275,Karan,Malhotra,CSE,7.2,6.7,1,1
276,Vihaan,Mehta,CSE,7.3,7.6,0,0
277,Aarav,Patel,CSE,8.7,8.4,1,1
278,Aisha,Menon,CSE,8.2,7.6,0,0
279,Aarav,Bhat,ME,6.5,6.9,1,1
280,Arjun,Joshi,BCA,6.4,6.2,0,1
281,Pooja,Bhat,CSE,7.8,8.2,0,0
282,Ritika,Patel,CSE,8.2,7.9,0,0
283,Ishaan,Patel,CSE,7.4,6.9,1,1
284,Aditya,Desai,MBA,6.4,6.3,0,0
285,Sneha,Yadav,MBA,6.7,6.3,0,0
286,Sneha,Rao,ME,8.4,8.5,0,0
287,Priya,Nair,CSE,8.1,8.3,0,0
288,Diya,Iyer,MBA,8.0,8.3,0,0
289,Krishna,Sinha,BCA,8.1,8.0,1,1
290,Aditya,Gupta,BCA,7.0,7.4,0,1
291,Rahul,Mehta,BCA,7.2,6.9,0,0
292,Arjun,Malhotra,CE,7.3,7.3,0,0
293,Sneha,Desai,BCA,7.7,7.7,0,1
294,Diya,Singh,CSE,8.5,9.1,1,1
295,Aditya,Nair,CSE,8.9,9.3,0,0
296,Aarav,Rao,CSE,8.3,8.3,2,1
297,Manya,Kapoor,ME,7.9,8.0,0,0
298,Aarav,Khan,BCA,8.6,9.1,0,0
299,Aditya,Gupta,CSE,7.7,7.5,0,0
300,Nidhi,Sinha,ME,8.1,7.5,1,1
301,Samar,Joshi,CE,7.7,7.4,0,0
302,Aditya,Menon,BCA,7.8,7.7,0,1
303,Karan,Bhat,ME,7.3,7.7,0,0
304,Diya,Singh,BCA,6.6,6.9,0,0
305,Nidhi,Nair,CSE,8.0,8.0,0,0
306,Aisha,Bhatt,CSE,8.0,8.1,0,0
307,Vihaan,Chopra,MBA,7.1,6.9,0,1
308,Samar,Bhat,CSE,7.7,8.3,1,1
309,Vihaan,Bhatt,CSE,7.3,7.7,0,0
310,Sneha,Malhotra,ME,6.9,6.9,1,1
311,Karan,Desai,CE,7.1,7.1,0,0
312,Aarav,Joshi,CE,6.6,6.8,0,0
313,Rahul,Malhotra,CSE,7.4,7.4,0,0
314,Ananya,Sharma,MBA,7.8,7.3,0,0
315,Pooja,Malhotra,CSE,8.7,9.2,0,0
316,Rohan,Kapoor,CSE,9.0,9.4,0,0
317,Samar,Khan,MBA,7.2,7.3,0,0
318,Aditya,Desai,CSE,8.5,8.4,0,0
319,Nidhi,Nair,CSE,8.0,8.0,0,0
320,Neha,Rao,CE,7.3,6.5,0,0
321,Rohan,Verma,CSE,8.0,7.7,0,1
322,Ishaan,Desai,BCA,8.1,8.6,0,0
323,Neha,Sinha,MBA,7.1,7.3,1,1
324,Manya,Malhotra,BCA,7.1,6.5,0,0
325,Aarav,Bhatt,CSE,7.6,7.4,0,0
326,Karan,Yadav,MBA,7.0,6.4,1,1
327,Diya,Iyer,CSE,8.5,8.3,0,0
328,Pooja,Menon,BCA,6.9,6.9,0,0
329,Diya,Chopra,CSE,7.4,7.9,0,0
330,Priya,Desai,CSE,8.0,8.2,0,0
331,Ritika,Khan,BCA,7.5,7.4,0,0
332,Aisha,Mehta,CSE,7.6,7.5,0,0
333,Vihaan,Bhatt,CSE,8.8,8.6,0,0
334,Vihaan,Iyer,CSE,7.4,7.7,1,1
335,Ritika,Khan,ME,7.3,7.7,0,1
336,Sneha,Malhotra,CSE,6.6,6.2,0,1
337,Manya,Yadav,MBA,7.2,6.7,0,1
338,Samar,Malhotra,CSE,7.0,6.9,1,1
339,Krishna,Khan,MBA,6.9,6.8,1,1
340,Aisha,Gupta,CE,6.2,6.3,0,0
341,Ananya,Singh,CSE,7.3,6.8,0,0
342,Arjun,Verma,MBA,7.4,7.2,0,1
343,Aarav,Khan,CSE,7.7,7.7,0,0
344,Karan,Iyer,CSE,7.6,7.4,0,0
345,Priya,Chopra,CSE,7.6,7.9,0,1
346,Priya,Sinha,MBA,7.1,7.7,0,0
347,Arjun,Rao,MBA,7.4,7.2,0,1
348,Rohan,Mehta,BCA,7.3,7.6,0,0
349,Ishaan,Sharma,CSE,8.0,7.9,1,1
350,Krishna,Yadav,MBA,7.3,7.0,1,1
351,Neha,Kapoor,MBA,7.1,6.9,0,0
352,Manya,Bhat,MBA,7.9,8.1,1,1
353,Aisha,Patel,BCA,7.8,7.6,0,0
354,Aditya,Bhat,CSE,7.8,7.7,0,0
355,Karan,Verma,CSE,8.5,8.2,0,0
356,Manya,Menon,ME,7.4,7.6,0,0
357,Pooja,Bhatt,CSE,7.7,7.8,0,0
358,Neha,Patel,CSE,7.8,8.2,0,0
359,Nidhi,Rao,CSE,7.9,8.1,0,0
360,Samar,Nair,CSE,7.2,7.3,0,0
361,Ritika,Mehta,ME,6.3,6.5,1,1
362,Sneha,Bhat,CSE,8.0,7.9,0,0
363,Ritika,Joshi,CSE,8.3,8.3,0,0
364,Arjun,Joshi,MBA,6.8,7.1,0,0
365,Rahul,Mehta,MBA,8.0,7.8,0,0
366,Priya,Desai,BCA,6.4,6.9,0,0
367,Aarav,Chopra,CSE,7.5,7.7,0,0
368,Aarav,Desai,BCA,8.4,9.0,0,0
369,Aisha,Joshi,MBA,7.6,7.2,0,0
370,Vihaan,Desai,CE,7.2,6.8,0,1
371,Pooja,Mehta,MBA,7.6,7.7,0,0
372,Karan,Sinha,MBA,8.1,8.1,0,0
373,Neha,Rao,BCA,6.5,6.4,2,1
374,Aarav,Joshi,BCA,8.2,7.8,0,0
375,Pooja,Khan,CSE,7.5,7.4,0,0
376,Rohan,Mehta,CSE,8.2,8.3,0,0
377,Arjun,Mehta,MBA,7.0,6.6,0,0
