student_id,first_name,last_name,department,batch,current_semester
1,Vihaan,Verma,CSE,2021,4
2,Rohan,Verma,ME,2022,7
3,Krishna,Joshi,BCA,2023,8
4,Aisha,Desai,MBA,2022,6
5,Rohan,Rao,ME,2023,8
6,Samar,Yadav,MBA,2022,6
7,Ishaan,Kapoor,MBA,2023,8
8,Nidhi,Singh,CSE,2022,6
9,Neha,Rao,ME,2022,6
10,Ananya,Rao,CSE,2021,5
11,Karan,Gupta,BCA,2020,2
12,Sneha,Sinha,ME,2021,4
13,Neha,Menon,CE,2023,8
14,Neha,Gupta,ME,2021,4
15,Neha,Bhatt,MBA,2022,6
16,Ishaan,Singh,MBA,2021,3
17,Priya,Menon,CSE,2022,5
18,Ananya,Kapoor,CSE,2022,6
19,Diya,Singh,MBA,2022,7
20,Ananya,Iyer,CSE,2022,5
21,Manya,Menon,CSE,2023,8
22,Karan,Iyer,CSE,2023,8
23,Priya,Patel,CSE,2021,3
24,Ishaan,Mehta,ME,2022,6
25,Nidhi,Rao,ME,2023,8
26,Ritika,Iyer,CSE,2023,8
27,Aditya,Yadav,CSE,2023,8
28,Arjun,Desai,CSE,2022,6
29,Priya,Joshi,CE,2020,2
30,Krishna,Sharma,CSE,2021,4
31,Neha,Sharma,CSE,2022,6
32,Rohan,Yadav,CSE,2022,6
33,Rohan,Gupta,CSE,2022,7
34,Aarav,Bhatt,BCA,2023,8
35,Arjun,Khan,CSE,2023,8
36,Aisha,Iyer,BCA,2022,5
37,Karan,Sinha,CE,2022,6
38,Manya,Iyer,MBA,2023,7
39,Diya,Menon,CSE,2021,3
40,Rahul,Bhatt,BCA,2022,7
41,Priya,Joshi,CE,2022,6
42,Ritika,Malhotra,CSE,2023,8
43,Rahul,Iyer,ME,2022,6
44,Sneha,Rao,CSE,2021,3
45,Nidhi,Bhatt,ME,2022,7
46,Diya,Yadav,BCA,2020,3
47,Ritika,Patel,ME,2023,8
48,Vihaan,Verma,BCA,2020,1
49,Priya,Rao,CSE,2023,7
50,Aisha,Iyer,MBA,2023,8
51,Diya,Mehta,CSE,2022,7
52,Diya,Nair,BCA,2022,6
53,Diya,Gupta,BCA,2023,8
54,Ishaan,Joshi,CSE,2022,5
55,Ishaan,Verma,CSE,2020,3
56,Vihaan,Bhatt,CE,2021,5
57,Krishna,Mehta,CSE,2022,6
58,Pooja,Patel,BCA,2020,1
59,Aarav,Iyer,CSE,2021,4
60,Neha,Kapoor,CSE,2021,4
61,Ritika,Chopra,CSE,2023,8
62,Aditya,Chopra,CSE,2022,5
63,Aarav,Malhotra,CSE,2023,7
64,Ritika,Rao,CE,2021,4
65,Aditya,Iyer,ME,2020,2
66,Ananya,Khan,CE,2022,7
67,Rahul,Sinha,CSE,2023,8
68,Ananya,Malhotra,BCA,2023,7
69,Aisha,Bhat,MBA,2020,3
70,Krishna,Bhatt,BCA,2023,8
71,Ritika,Menon,CE,2023,8
72,Rohan,Nair,CSE,2022,6
