student details data:       student_id         full_name department  batch  current_semester
0              1      Vihaan Verma        CSE   2021                 4
1              2       Rohan Verma         ME   2022                 7
2              3     Krishna Joshi        BCA   2023                 8
3              4       Aisha Desai        MBA   2022                 6
4              5         Rohan Rao         ME   2023                 8
5              6       Samar Yadav        MBA   2022                 6
6              7     Ishaan Kapoor        MBA   2023                 8
7              8       Nidhi Singh        CSE   2022                 6
8              9          Neha Rao         ME   2022                 6
9             10        Ananya Rao        CSE   2021                 5
10            11       Karan Gupta        BCA   2020                 2
11            12       Sneha Sinha         ME   2021                 4
12            13        Neha Menon         CE   2023                 8
13            14        Neha Gupta         ME   2021                 4
14            15        Neha Bhatt        MBA   2022                 6
15            16      Ishaan Singh        MBA   2021                 3
16            17       Priya Menon        CSE   2022                 5
17            18     Ananya Kapoor        CSE   2022                 6
18            19        Diya Singh        MBA   2022                 7
19            20       Ananya Iyer        CSE   2022                 5
20            21       Manya Menon        CSE   2023                 8
21            22        Karan Iyer        CSE   2023                 8
22            23       Priya Patel        CSE   2021                 3
23            24      Ishaan Mehta         ME   2022                 6
24            25         Nidhi Rao         ME   2023                 8
25            26       Ritika Iyer        CSE   2023                 8
26            27      Aditya Yadav        CSE   2023                 8
27            28       Arjun Desai        CSE   2022                 6
28            29       Priya Joshi         CE   2020                 2
29            30    Krishna Sharma        CSE   2021                 4
30            31       Neha Sharma        CSE   2022                 6
31            32       Rohan Yadav        CSE   2022                 6
32            33       Rohan Gupta        CSE   2022                 7
33            34       Aarav Bhatt        BCA   2023                 8
34            35        Arjun Khan        CSE   2023                 8
35            36        Aisha Iyer        BCA   2022                 5
36            37       Karan Sinha         CE   2022                 6
37            38        Manya Iyer        MBA   2023                 7
38            39        Diya Menon        CSE   2021                 3
39            40       Rahul Bhatt        BCA   2022                 7
40            41       Priya Joshi         CE   2022                 6
41            42   Ritika Malhotra        CSE   2023                 8
42            43        Rahul Iyer         ME   2022                 6
43            44         Sneha Rao        CSE   2021                 3
44            45       Nidhi Bhatt         ME   2022                 7
45            46        Diya Yadav        BCA   2020                 3
46            47      Ritika Patel         ME   2023                 8
47            48      Vihaan Verma        BCA   2020                 1
48            49         Priya Rao        CSE   2023                 7
49            50        Aisha Iyer        MBA   2023                 8
50            51        Diya Mehta        CSE   2022                 7
51            52         Diya Nair        BCA   2022                 6
52            53        Diya Gupta        BCA   2023                 8
53            54      Ishaan Joshi        CSE   2022                 5
54            55      Ishaan Verma        CSE   2020                 3
55            56      Vihaan Bhatt         CE   2021                 5
56            57     Krishna Mehta        CSE   2022                 6
57            58       Pooja Patel        BCA   2020                 1
58            59        Aarav Iyer        CSE   2021                 4
59            60       Neha Kapoor        CSE   2021                 4
60            61     Ritika Chopra        CSE   2023                 8
61            62     Aditya Chopra        CSE   2022                 5
62            63    Aarav Malhotra        CSE   2023                 7
63            64        Ritika Rao         CE   2021                 4
64            65       Aditya Iyer         ME   2020                 2
65            66       Ananya Khan         CE   2022                 7
66            67       Rahul Sinha        CSE   2023                 8
67            68   Ananya Malhotra        BCA   2023                 7
68            69        Aisha Bhat        MBA   2020                 3
69            70     Krishna Bhatt        BCA   2023                 8
70            71      Ritika Menon         CE   2023                 8
71            72        Rohan Nair        CSE   2022                 6
72            73      Ishaan Verma        MBA   2023                 8
73            74       Aarav Gupta        CSE   2022                 6
74            75       Pooja Verma        MBA   2020                 1
75            76     Krishna Yadav        CSE   2022                 5
76            77      Aisha Chopra        CSE   2022                 7
77            78        Neha Menon         ME   2020                 1
78            79       Nidhi Joshi        CSE   2022                 7
79            80        Priya Khan        CSE   2021                 3
80            81    Krishna Chopra        BCA   2023                 8
81            82      Pooja Sharma         ME   2023                 8
82            83       Arjun Verma         ME   2021                 4
83            84     Krishna Desai        CSE   2023                 8
84            85      Vihaan Menon        CSE   2023                 7
85            86      Krishna Iyer        CSE   2023                 8
86            87         Neha Nair         ME   2023                 8
87            88       Arjun Singh         ME   2022                 6
88            89      Rohan Chopra        CSE   2023                 8
89            90   Ritika Malhotra        MBA   2022                 5
90            91       Aditya Iyer         ME   2023                 8
91            92     Ritika Sharma        CSE   2021                 5
92            93       Manya Mehta        BCA   2021                 3
93            94      Ananya Singh        CSE   2023                 8
94            95      Nidhi Chopra        MBA   2021                 4
95            96       Rohan Sinha        CSE   2021                 4
96            97        Priya Bhat         ME   2023                 8
97            98      Aditya Desai        CSE   2021                 4
98            99       Pooja Sinha        MBA   2023                 8
99           100       Samar Desai        MBA   2023                 7
100          101        Samar Khan        CSE   2022                 7
101          102        Aisha Khan         ME   2022                 5
102          103      Sneha Chopra        MBA   2021                 3
103          104       Arjun Singh        MBA   2022                 6
104          105        Aisha Khan        CSE   2023                 8
105          106     Ritika Sharma        MBA   2023                 8
106          107        Priya Bhat         CE   2022                 6
107          108       Neha Kapoor        BCA   2023                 8
108          109       Manya Yadav        CSE   2023                 8
109          110      Pooja Kapoor        MBA   2022                 5
110          111       Pooja Menon        CSE   2021                 4
111          112      Ananya Bhatt        MBA   2021                 5
112          113       Sneha Sinha        CSE   2022                 7
113          114      Pooja Chopra        CSE   2022                 7
114          115       Neha Kapoor        CSE   2023                 8
115          116      Ishaan Desai        MBA   2020                 2
116          117        Pooja Khan         CE   2020                 3
117          118    Aarav Malhotra         CE   2022                 7
118          119       Rohan Yadav        BCA   2021                 4
119          120        Nidhi Nair        CSE   2020                 2
120          121        Ritika Rao        BCA   2021                 4
121          122        Aisha Bhat        BCA   2022                 6
122          123      Vihaan Singh        CSE   2023                 8
123          124    Rohan Malhotra        BCA   2022                 5
124          125       Rahul Gupta        BCA   2020                 1
125          126       Rohan Desai         CE   2023                 7
126          127        Rahul Bhat        CSE   2022                 6
127          128       Karan Patel         ME   2023                 8
128          129        Nidhi Bhat         CE   2023                 8
129          130        Manya Iyer        CSE   2023                 8
130          131   Ritika Malhotra         CE   2023                 7
131          132      Priya Sharma        CSE   2021                 5
132          133       Aisha Patel        CSE   2023                 8
133          134      Vihaan Mehta        CSE   2023                 8
134          135       Rahul Verma         CE   2022                 5
135          136       Nidhi Desai        CSE   2022                 6
136          137       Samar Verma        CSE   2022                 5
137          138       Aisha Bhatt        MBA   2021                 5
138          139       Aisha Patel        CSE   2022                 5
139          140         Arjun Rao         ME   2022                 7
140          141       Vihaan Iyer        CSE   2021                 4
141          142       Pooja Joshi        MBA   2023                 7
142          143   Ishaan Malhotra        CSE   2022                 6
143          144      Ritika Desai         ME   2021                 4
144          145    Karan Malhotra        BCA   2023                 8
145          146       Aarav Verma        CSE   2020                 1
146          147       Aarav Verma        CSE   2021                 4
147          148       Aisha Menon        CSE   2022                 6
148          149       Sneha Bhatt         CE   2022                 6
149          150       Nidhi Singh         ME   2022                 6
150          151        Neha Bhatt        BCA   2021                 3
151          152         Samar Rao         ME   2023                 8
152          153    Rohan Malhotra        MBA   2022                 6
153          154       Pooja Menon         ME   2022                 6
154          155    Rohan Malhotra        BCA   2023                 8
155          156        Aarav Nair        CSE   2023                 8
156          157       Ritika Nair        CSE   2021                 4
157          158      Aditya Sinha        BCA   2021                 5
158          159      Ananya Desai        CSE   2021                 4
159          160      Aisha Kapoor        BCA   2020                 2
160          161       Nidhi Bhatt        CSE   2021                 4
161          162        Neha Yadav         CE   2021                 4
162          163        Neha Menon        CSE   2022                 5
163          164  Krishna Malhotra         CE   2021                 4
164          165      Ananya Bhatt        BCA   2022                 7
165          166        Samar Bhat        CSE   2021                 4
166          167       Ishaan Khan        CSE   2022                 6
